ID	FileName	Frame	Kind	SubKind	Tag1	Tag2
0	QuestPuzzle10.UITex	0	道具	任务特殊		
1	QuestItem.UITex	0	道具	任务特殊		
2	QuestItem.UITex	1	道具	任务特殊		
3	QuestItem.UITex	2	道具	任务特殊		
4	QuestItem.UITex	3	道具	任务特殊		
5	QuestItem.UITex	4	道具	任务特殊		
6	skill_jianghu_jichuanqi.UITex	0	技能	通用		
7	skill_jianghu_jichubifa.UITex	0	技能	通用		
8	skill_jianghu_jichugunfa.UITex	0	技能	通用		
9	skill_jianghu_jichujianfa.UITex	0	技能	通用		
10	skill_jianghu_jichuqiangfa.UITex	0	技能	通用		
11	skill_jianghu_jichuquanzhang.UITex	0	技能	通用		
12	skill_jianghu_jichushuangbing.UITex	0	技能	通用		
13	skill_jianghu_jichuneigong.UITex	0	技能	通用		
14	skill_jianghu_anqigongji.UITex	0	技能	通用		
15	skill_jianghu_bigongji.UITex	0	技能	通用		
16	skill_jianghu_gungongji.UITex	0	技能	通用		
17	skill_jianghu_jiangongji.UITex	0	技能	通用		
18	skill_jianghu_qianggongji.UITex	0	技能	通用		
19	skill_jianghu_quanzhanggongji.UITex	0	技能	通用		
20	skill_jianghu_shuangbinggongji.UITex	0	技能	通用		
21	skill_jianghu_neigongdazuo.UITex	0	技能	通用		
22	skill_jianghu_qinggong.UITex	0	技能	通用		
23	wpn_bullet_w_04.UITex	0	武器	弓弦暗器		
24	wpn_longdis_w_07.UITex	0	武器	投掷囊	飞刀袋	
25	wpn_bullet_b_05.UITex	0	武器	弓弦暗器		
26	wpn_brush_w_uni01.UITex	0	武器	笔		
27	wpn_brush_w_uni02.UITex	0	武器	笔		
28	wpn_brush_b_uni02.UITex	0	武器	笔		
29	wpn_wand_w_uni01.UITex	0	武器	棍	棒	木
30	wpn_wand_w_uni02.UITex	0	武器	棍	棒	木
31	wpn_wand_b_uni02.UITex	0	武器	棍	棒	银
32	wpn_sword_w_uni01.UITex	0	武器	剑		木
33	wpn_sword_w_uni02.UITex	0	武器	剑		
34	wpn_sword_b_uni02.UITex	0	武器	剑		
35	wpn_spear_w_uni01.UITex	0	武器	枪		
36	wpn_spear_w_uni02.UITex	0	武器	枪		
37	wpn_spear_b_uni02.UITex	0	武器	枪		
38	wpn_fist_w_uni01.UITex	0	武器	拳套		
39	wpn_fist_w_uni02.UITex	0	武器	拳套		
40	wpn_fist_b_uni02.UITex	0	武器	拳套		
41	wpn_double_w_uni01.UITex	0	武器	双兵		
42	wpn_double_w_uni02.UITex	0	武器	双兵		
43	wpn_double_b_uni02.UITex	0	武器	双兵		
44	def_xinshou_w_m_coat.UITex	0	防具	上衣		
45	def_xinshou_w_m_pants.UITex	0	防具	裤子		
46	def_jianghu1_w_ud_head.UITex	0	防具	帽子		
47	def_jianghu2_w_ud_head.UITex	0	防具	帽子		
48	def_jianghu3_w_ud_head.UITex	0	防具	帽子		
49	def_jianghu1_w_ud_coat.UITex	0	防具	上衣		
50	def_jianghu2_w_ud_coat.UITex	0	防具	上衣		
51	def_jianghu3_w_ud_coat.UITex	0	防具	上衣		
52	def_jianghu1_w_ud_belt.UITex	0	防具	腰带		
53	def_jianghu2_w_ud_belt.UITex	0	防具	腰带		
54	def_jianghu3_w_ud_belt.UITex	0	防具	腰带		
55	def_jianghu1_w_ud_pants.UITex	0	防具	裤子		
56	def_jianghu2_w_ud_pants.UITex	0	防具	裤子		
57	def_jianghu3_w_ud_pants.UITex	0	防具	裤子		
58	def_jianghu1_w_ud_cuff.UITex	0	防具	护臂		
59	def_jianghu2_w_ud_cuff.UITex	0	防具	护臂		
60	def_jianghu3_w_ud_cuff.UITex	0	防具	护臂		
61	def_jianghu1_w_ud_shoes.UITex	0	防具	鞋		
62	def_jianghu2_w_ud_shoes.UITex	0	防具	鞋		
63	def_jianghu3_w_ud_shoes.UITex	0	防具	鞋		
64	forcedrop01.UITex	0	道具	未分类		
65	animalstuff01.UITex	0	道具	动物与器官		
66	animalstuff02.UITex	0	道具	动物与器官		
67	animalstuff08.UITex	0	道具	动物与器官		
68	animalstuff52.UITex	0	道具	动物与器官		
69	animalstuff03.UITex	0	道具	动物与器官		
70	animalstuff16.UITex	0	道具	动物与器官		
71	animalstuff09.UITex	0	道具	动物与器官		
72	animalstuff04.UITex	0	道具	动物与器官		
73	animalstuff50.UITex	0	道具	动物与器官		
74	foundry27.UITex	0	道具	动物与器官		
75	foundry26.UITex	0	道具	动物与器官		
76	animalstuff07.UITex	0	道具	动物与器官		
77	animalstuff18.UITex	0	道具	动物与器官		
78	animalstuff11.UITex	0	道具	动物与器官		
79	leather04.UITex	0	道具	皮料		
80	skill_jianghu_erduantiao.UITex	0	技能	通用		
81	animalstuff12.UITex	0	道具	动物与器官		
82	animalstuff14.UITex	0	道具	动物与器官		
83	animalstuff15.UITex	0	道具	动物与器官		
84	animalstuff21.UITex	0	道具	动物与器官		
85	animalstuff17.UITex	0	道具	动物与器官		
86	animalstuff35.UITex	0	道具	动物与器官		
87	food07.UITex	0	道具	食物与食材		
88	cookspecial01.UITex	0	道具	食物与食材		
89	m4new17.UITex	0	道具	动物与器官		
90	bag01.UITex	0	道具	包裹		
91	bag22.UITex	0	道具	包裹		
92	book02.UITex	0	道具	书籍信纸		
93	cloth01.UITex	0	道具	布料与线团		
94	coin01.UITex	0	道具	钱币		
95	coin02.UITex	0	道具	钱币		
96	coin03.UITex	0	道具	钱币		
97	coin04.UITex	0	道具	钱币		
98	coin05.UITex	0	道具	钱币		
99	coin06.UITex	0	道具	钱币		
100	food24.UITex	0	道具	食物与食材		
101	forcedrop09.UITex	0	道具	未分类		
102	leather01.UITex	0	道具	皮料		
103	m4new01.UITex	0	道具	植物		
104	m4new02.UITex	0	道具	植物		
105	m4new03.UITex	0	道具	食物与食材		
106	m4new04.UITex	0	道具	布料与线团		
107	m4new05.UITex	0	道具	动物与器官		
108	m4new06.UITex	0	道具	未分类		
