id,name,icon,category,quality,school,primaryAttribute,score,vitality,spirit,strength,agility,spunk,basicPhysicsShield,basicMagicShield,damageBase,damageRange,attackSpeed,physicsShield,magicShield,dodge,parryBase,parryValue,toughness,attack,heal,crit,critEffect,overcome,haste,hit,strain,surplus,huajing,threat,effectId,embed,strengthen,setId,representId,deprecated
32277,归宁袖,11357,wrist,1650,通用,spirit,2079,416,81,0,0,0,38,47,0,0,0,0,0,0,0,0,0,157,0,0,0,405,0,0,0,360,0,0,NULL,,6,NULL,1977,0
32278,燕音袖,11357,wrist,1650,通用,spunk,2079,416,0,0,0,81,38,47,0,0,0,0,0,0,0,0,0,157,0,0,0,405,0,0,0,360,0,0,NULL,,6,NULL,1977,0
32279,赤鲂护手,11357,wrist,1650,通用,strength,2079,416,0,81,0,0,47,38,0,0,0,0,0,0,0,0,0,131,0,0,0,405,0,0,0,360,0,0,NULL,,6,NULL,1979,0
32280,阆风袖,11357,wrist,1650,通用,agility,2079,416,0,0,81,0,47,38,0,0,0,0,0,0,0,0,0,131,0,0,0,405,0,0,0,360,0,0,NULL,,6,NULL,1979,0
32281,湘蘋袖,11357,wrist,1650,通用,spirit,2079,416,81,0,0,0,38,47,0,0,0,0,0,0,0,0,0,0,511,0,0,0,0,0,0,0,0,0,NULL,,6,NULL,1976,0
32282,吉士臂甲,11357,wrist,1650,通用,vitality,2079,562,0,0,0,0,47,47,0,0,0,112,0,169,0,0,112,0,0,0,0,0,0,0,270,67,0,159,NULL,,6,NULL,1978,0
32283,归宁束带,11358,belt,1650,通用,spirit,2079,416,81,0,0,0,27,34,0,0,0,0,0,0,0,0,0,157,0,0,0,405,0,0,0,360,0,0,NULL,,6,NULL,1977,0
32284,燕音缠,11358,belt,1650,通用,spunk,2079,416,0,0,0,81,27,34,0,0,0,0,0,0,0,0,0,157,0,0,0,405,0,0,0,360,0,0,NULL,,6,NULL,1977,0
32285,赤鲂护腰,11358,belt,1650,通用,strength,2079,416,0,81,0,0,34,27,0,0,0,0,0,0,0,0,0,131,0,0,0,405,0,0,0,360,0,0,NULL,,6,NULL,1979,0
32286,阆风束,11358,belt,1650,通用,agility,2079,416,0,0,81,0,34,27,0,0,0,0,0,0,0,0,0,131,0,0,0,405,0,0,0,360,0,0,NULL,,6,NULL,1979,0
32287,湘蘋束带,11358,belt,1650,通用,spirit,2079,416,81,0,0,0,27,34,0,0,0,0,0,0,0,0,0,0,511,0,0,0,0,0,0,0,0,0,NULL,,6,NULL,1976,0
32288,吉士革带,11358,belt,1650,通用,vitality,2079,562,0,0,0,0,34,34,0,0,0,112,0,281,0,0,0,0,0,0,0,0,0,0,90,247,0,159,NULL,,6,NULL,1978,0
32289,归宁靴,11361,shoes,1650,通用,spirit,2079,416,101,0,0,0,27,34,0,0,0,0,0,0,0,0,0,242,0,0,0,517,0,0,0,0,0,0,NULL,,6,NULL,1977,0
32290,燕音鞋,11361,shoes,1650,通用,spunk,2079,416,0,0,0,101,27,34,0,0,0,0,0,0,0,0,0,242,0,0,0,517,0,0,0,0,0,0,NULL,,6,NULL,1977,0
32291,赤鲂靴,11361,shoes,1650,通用,strength,2079,416,0,101,0,0,34,27,0,0,0,0,0,0,0,0,0,201,0,0,0,517,0,0,0,0,0,0,NULL,,6,NULL,1979,0
32292,阆风履,11361,shoes,1650,通用,agility,2079,416,0,0,101,0,34,27,0,0,0,0,0,0,0,0,0,201,0,0,0,517,0,0,0,0,0,0,NULL,,6,NULL,1979,0
32293,湘蘋履,11361,shoes,1650,通用,spirit,2079,416,81,0,0,0,27,34,0,0,0,0,0,0,0,0,0,0,511,0,0,0,0,0,0,0,0,0,NULL,,6,NULL,1976,0
32294,吉士靴,11361,shoes,1650,通用,vitality,2079,562,0,0,0,0,34,34,0,0,0,112,0,0,281,1625,0,0,0,0,0,0,0,0,180,157,0,159,NULL,,6,NULL,1978,0
32295,归宁裤,11359,bottoms,1650,通用,spirit,2970,594,144,0,0,0,49,61,0,0,0,0,0,0,0,0,0,345,0,0,0,739,0,0,0,0,0,0,NULL,,6,NULL,NULL,0
32296,燕音裳,11359,bottoms,1650,通用,spunk,2970,594,0,0,0,144,49,61,0,0,0,0,0,0,0,0,0,345,0,0,0,739,0,0,0,0,0,0,NULL,,6,NULL,NULL,0
32297,赤鲂裤,11359,bottoms,1650,通用,strength,2970,594,0,144,0,0,61,49,0,0,0,0,0,0,0,0,0,288,0,0,0,739,0,0,0,0,0,0,NULL,,6,NULL,NULL,0
32298,阆风护腿,11359,bottoms,1650,通用,agility,2970,594,0,0,144,0,61,49,0,0,0,0,0,0,0,0,0,288,0,0,0,739,0,0,0,0,0,0,NULL,,6,NULL,NULL,0
32299,湘蘋裳,11359,bottoms,1650,通用,spirit,2970,594,115,0,0,0,49,61,0,0,0,0,0,0,0,0,0,0,731,0,0,0,0,0,0,0,0,0,NULL,,6,NULL,NULL,0
32300,吉士护腿,11359,bottoms,1650,通用,vitality,2970,803,0,0,0,0,61,61,0,0,0,161,0,0,241,2321,161,0,0,0,0,0,0,0,482,0,0,159,NULL,,6,NULL,NULL,0
32301,归宁帽,11360,hat,1650,通用,spirit,2673,535,104,0,0,0,43,54,0,0,0,0,0,0,0,0,0,202,0,0,0,520,0,0,0,462,0,0,NULL,,6,NULL,1977,0
32302,燕音冠,11360,hat,1650,通用,spunk,2673,535,0,0,0,104,43,54,0,0,0,0,0,0,0,0,0,202,0,0,0,520,0,0,0,462,0,0,NULL,,6,NULL,1977,0
32303,赤鲂盔,11360,hat,1650,通用,strength,2673,535,0,104,0,0,54,43,0,0,0,0,0,0,0,0,0,168,0,0,0,520,0,0,0,462,0,0,NULL,,6,NULL,1979,0
32304,阆风帽,11360,hat,1650,通用,agility,2673,535,0,0,104,0,54,43,0,0,0,0,0,0,0,0,0,168,0,0,0,520,0,0,0,462,0,0,NULL,,6,NULL,1979,0
32305,湘蘋簪,11360,hat,1650,通用,spirit,2673,535,104,0,0,0,43,54,0,0,0,0,0,0,0,0,0,0,658,0,0,0,0,0,0,0,0,0,NULL,,6,NULL,1976,0
32306,吉士帽,11360,hat,1650,通用,vitality,2673,723,0,0,0,0,54,54,0,0,0,361,0,0,0,0,145,0,0,0,0,0,0,0,347,0,0,159,NULL,,6,NULL,1978,0
32307,归宁袍,11356,jacket,1650,通用,spirit,2970,594,115,0,0,0,54,68,0,0,0,0,0,0,0,0,0,224,0,0,0,578,0,0,0,514,0,0,NULL,,6,NULL,1977,0
32308,燕音帔,11356,jacket,1650,通用,spunk,2970,594,0,0,0,115,54,68,0,0,0,0,0,0,0,0,0,224,0,0,0,578,0,0,0,514,0,0,NULL,,6,NULL,1977,0
32309,赤鲂软胄,11356,jacket,1650,通用,strength,2970,594,0,115,0,0,68,54,0,0,0,0,0,0,0,0,0,187,0,0,0,578,0,0,0,514,0,0,NULL,,6,NULL,1979,0
32310,阆风麾,11356,jacket,1650,通用,agility,2970,594,0,0,115,0,68,54,0,0,0,0,0,0,0,0,0,187,0,0,0,578,0,0,0,514,0,0,NULL,,6,NULL,1979,0
