32277,1
32278,1
32279,1
32280,1
32281,2
32282,2
32283,3
32284,3
32285,3
32286,3
32287,2
32288,2
32289,4
32290,4
32291,4
32292,4
32293,2
32294,2
32295,5
32296,5
32297,5
32298,5
32299,2
32300,2
32301,6
32302,6
32303,6
32304,6
32305,2
32306,2
32307,7
32308,7
32309,7
32310,7
32311,2
32312,2
32313,8
32314,8
32315,8
32316,8
32317,2
32318,2
32319,9
32320,9
32321,9
32322,9
32323,2
32324,2
32325,10
32326,10
32327,10
32328,10
32329,2
32330,2
32331,11
32332,11
32333,11
32334,11
32335,2
32336,2
32337,12
32338,12
32339,12
32340,12
32341,2
32342,2
32343,13
32344,13
32345,13
32346,13
32347,2
32348,2
32349,14
32350,14
32351,14
32352,14
32353,14
32354,14
32355,14
32356,14
32357,14
32358,14
32359,14
32360,14
32361,14
32362,14
32363,14
32364,14
32365,14
32366,14
32367,14
32368,14
32369,14
32370,14
32371,14
32372,14
32373,14
32374,14
32375,14
32376,14
32377,14
32378,14
32379,14
32380,14
32381,14
32382,14
32383,14
32384,14
32385,15
32386,15
32387,15
32388,15
32389,15
32390,15
32391,16
32392,16
32393,16
32394,16
32395,16
32396,16
32397,17
32398,17
32399,17
32400,17
32401,17
32402,17
32403,18
32404,18
32405,18
32406,18
32407,18
32408,18
32409,19
32410,19
32411,19
32412,19
32413,19
32414,19
32415,20
32416,20
32417,20
32418,20
32419,20
32420,20
32421,21
32422,21
32423,21
32424,21
32425,21
32426,21
32427,22
32428,22
32429,22
32430,22
32431,22
32432,22
32433,23
32433,24
32434,23
32434,24
32435,23
32435,24
32436,23
32436,24
32437,23
32437,24
32438,23
32438,24
32439,25
32440,25
32441,25
32442,25
32443,25
32444,25
32445,26
32446,26
32447,26
32448,26
32449,26
32450,26
32451,26
32452,26
32453,26
32454,26
32455,26
32456,26
32457,27
32458,27
32459,27
32460,27
32461,27
32462,27
32463,28
32464,28
32465,28
32466,28
32467,28
32468,28
32469,27
32470,27
32471,27
32472,27
32473,27
32474,27
32475,29
32476,29
32477,29
32478,29
32479,29
32480,29
32481,30
32482,30
32483,30
32484,30
32485,30
32486,30
32487,31
32488,31
32489,31
32490,31
32491,31
32492,31
32493,32
32494,32
32495,32
32496,32
32497,32
32498,32
32499,33
32500,33
32501,33
32502,33
32503,33
32504,33
32505,34
32505,35
32505,36
32505,37
32505,38
32505,39
32505,19
32505,40
32505,41
32505,42
32505,43
32506,34
32506,35
32506,36
32506,37
32506,38
32506,39
32506,19
32506,40
32506,41
32506,42
32506,43
32507,34
32507,35
32507,36
32507,37
32507,38
32507,39
32507,19
32507,40
32507,41
32507,42
32507,43
32508,34
32508,35
32508,36
32508,37
32508,38
32508,39
32508,19
32508,40
32508,41
32508,42
32508,43
32509,34
32509,35
32509,36
32509,37
32509,38
32509,39
32509,19
32509,40
32509,41
32509,42
32509,43
32510,34
32510,35
32510,36
32510,37
32510,38
32510,39
32510,19
32510,40
32510,41
32510,42
32510,43
32511,44
32511,34
32511,45
32511,20
32511,46
32511,47
32511,48
32511,49
32511,50
32511,51
32511,52
32512,44
32512,34
32512,45
32512,20
32512,46
32512,47
32512,48
32512,49
32512,50
32512,51
32512,52
32513,44
32513,34
32513,45
32513,20
32513,46
32513,47
32513,48
32513,49
32513,50
32513,51
32513,52
32514,44
32514,34
32514,45
32514,20
32514,46
32514,47
32514,48
32514,49
32514,50
32514,51
32514,52
32515,44
32515,34
32515,45
32515,20
32515,46
32515,47
32515,48
32515,49
32515,50
32515,51
32515,52
32516,44
32516,34
32516,45
32516,20
32516,46
32516,47
32516,48
32516,49
32516,50
32516,51
32516,52
32517,53
32517,54
32517,27
32517,55
32517,56
32517,57
32517,58
32517,59
32517,60
32517,61
32517,62
32518,53
32518,54
32518,27
32518,55
32518,56
32518,57
32518,58
32518,59
32518,60
32518,61
32518,62
32519,53
32519,54
32519,27
32519,55
32519,56
32519,57
32519,58
32519,59
32519,60
32519,61
32519,62
32520,53
32520,54
32520,27
32520,55
32520,56
32520,57
32520,58
32520,59
32520,60
32520,61
32520,62
32521,53
32521,54
32521,27
32521,55
32521,56
32521,57
32521,58
32521,59
32521,60
32521,61
32521,62
32522,53
32522,54
32522,27
32522,55
32522,56
32522,57
32522,58
32522,59
32522,60
32522,61
32522,62
32523,63
32523,64
32523,65
32523,22
32523,66
32523,67
32523,68
32523,69
32523,70
32523,71
32524,63
32524,64
32524,65
32524,22
32524,66
32524,67
32524,68
32524,69
32524,70
32524,71
32525,63
32525,64
32525,65
32525,22
32525,66
32525,67
32525,68
32525,69
32525,70
32525,71
32526,63
32526,64
32526,65
32526,22
32526,66
32526,67
32526,68
32526,69
32526,70
32526,71
32527,63
32527,64
32527,65
32527,22
32527,66
32527,67
32527,68
32527,69
32527,70
32527,71
32528,63
32528,64
32528,65
32528,22
32528,66
32528,67
32528,68
32528,69
32528,70
32528,71
32529,56
32529,72
32529,73
32529,74
32529,75
32529,76
32529,77
32529,78
32529,79
32529,80
32529,81
32530,56
32530,72
32530,73
32530,74
32530,75
32530,76
32530,77
32530,78
32530,79
32530,80
32530,81
32531,56
32531,72
32531,73
32531,74
32531,75
32531,76
32531,77
32531,78
32531,79
32531,80
32531,81
32532,56
32532,72
32532,73
32532,74
32532,75
32532,76
32532,77
32532,78
32532,79
32532,80
32532,81
32533,56
32533,72
32533,73
32533,74
32533,75
32533,76
32533,77
32533,78
32533,79
32533,80
32533,81
32534,56
32534,72
32534,73
32534,74
32534,75
32534,76
32534,77
32534,78
32534,79
32534,80
32534,81
32535,82
32535,83
